source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
OLX Pakistan,Toyota Land Cruiser 2020,Toyota,Land Cruiser,Standard,2020,4,29000000,290.0,70000,Islamabad,1300,Manual,Diesel,https://www.olx.com.pk/item/toyota-land-cruiser-2020-iid-1119644987,https://images.olx.com.pk/thumbnails/647765778-400x300.jpeg,Car of the Week | Rs 2.90 Crore | Toyota Land Cruiser 2020 | Lightweight allow rims. Everything is in genuine condition. All original documents are complete. Exchange is possible with other car. As go,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki alto vxr 2007,Suzuki,Alto,VXR,2007,17,835000,8.35,50000,Karachi,660,Manual,Petrol,https://www.olx.com.pk/item/suzuki-alto-vxr-2007-iid-1119340407,https://images.olx.com.pk/thumbnails/645948528-400x300.jpeg,"Featured | Rs 8.35 Lac | Suzuki alto vxr 2007 | 2007 | • | New | • | CNG | North Nazimabad, Karachi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki Alto VXR Manual 2023 Model,Suzuki,Alto,VXR,2023,1,2435000,24.35,37400,Karachi,660,Manual,Petrol,https://www.olx.com.pk/item/suzuki-alto-vxr-manual-2023-model-iid-1119622590,https://images.olx.com.pk/thumbnails/647856415-400x300.jpeg,"Featured | Rs 24.35 Lacs | Suzuki Alto VXR Manual 2023 Model | 2023 | • | 37,400 km | • | Petrol | Others, Karachi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki Alto 2020 VXL AGS,Suzuki,Alto,VXL AGS,2020,4,2575000,25.75,62700,Karachi,660,Automatic,Petrol,https://www.olx.com.pk/item/suzuki-alto-2020-vxl-ags-iid-1119581455,https://images.olx.com.pk/thumbnails/647388354-400x300.jpeg,"Featured | Rs 25.75 Lacs | Suzuki Alto 2020 VXL AGS | 2020 | • | 62,700 km | • | Petrol | DHA Phase 8, Karachi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Corolla XLI 2018,Toyota,Corolla,XLi,2018,6,3550000,35.5,105000,Karachi,1300,Manual,Petrol,https://www.olx.com.pk/item/toyota-corolla-xli-2018-iid-1119095806,https://images.olx.com.pk/thumbnails/644490486-400x300.jpeg,"Featured | Rs 35.50 Lacs | Toyota Corolla XLI 2018 | 2015 | • | 105,000 km | • | Petrol | Gulistan-e-Jauhar, Karachi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,> KIA Sportage FWD 2022,KIA,Sportage,FWD,2022,2,6850000,68.5,15000,Karachi,2000,Manual,Petrol,https://www.olx.com.pk/item/kia-sportage-fwd-2022-iid-1118891758,https://images.olx.com.pk/thumbnails/643270287-400x300.jpeg,"Featured | Rs 68.50 Lacs | > KIA Sportage FWD 2022 | 2022 | • | 15,000 km | • | Petrol | Old Ravians Co-Operative Housing Society, Karachi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda city ivtec 1.3 Automatic 2017,Honda,City,Standard,2017,7,2850000,28.5,50000,Lahore,1300,Automatic,Petrol,https://www.olx.com.pk/item/honda-city-ivtec-13-automatic-2017-iid-1118691257,https://images.olx.com.pk/thumbnails/648074170-400x300.jpeg,"Featured | Rs 28.50 Lacs | Honda city ivtec 1.3 Automatic 2017 | 2018 | • | New | • | Petrol | Gulberg, Lahore | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda Civic EXI || Model 1988/2001 Import,Honda,Civic,Standard,1988,36,944000,9.44,100000,Rawalpindi,1800,Manual,Petrol,https://www.olx.com.pk/item/honda-civic-exi-model-19882001-import-iid-1118614099,https://images.olx.com.pk/thumbnails/643568917-400x300.jpeg,"Featured | Rs 9.44 Lac | Honda Civic EXI || Model 1988/2001 Import | 1988 | • | 100,000 km | • | Petrol | Khanna Road, Rawalpindi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Surf SSR-G 3.4 1999 | Surf SSR-G 1999 For Sale | Auto,Toyota,Corolla,Standard,1999,25,5500000,55.0,129733,Lahore,1300,Automatic,Petrol,https://www.olx.com.pk/item/toyota-surf-ssr-g-34-1999-surf-ssr-g-1999-for-sale-auto-iid-1119698171,https://images.olx.com.pk/thumbnails/648082053-400x300.jpeg,"Featured | Rs 55 Lacs | Toyota Surf SSR-G 3.4 1999 | Surf SSR-G 1999 For Sale | Auto | 1999 | • | 129,733 km | • | Petrol | Cantt, Quetta | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Corolla Altis SR 1.8 Cruisetronic 2010 | B2B Genuine,Toyota,Corolla,Standard,2010,14,3495000,34.95,70000,Rawalpindi,1300,Manual,Petrol,https://www.olx.com.pk/item/toyota-corolla-altis-sr-18-cruisetronic-2010-b2b-genuine-iid-1119696569,https://images.olx.com.pk/thumbnails/648072172-400x300.jpeg,"Featured | Rs 34.95 Lacs | Toyota Corolla Altis SR 1.8 Cruisetronic 2010 | B2B Genuine | 2010 | • | 70,000 km | • | Petrol | Askari 14, Rawalpindi | • | 2 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
