make,model,variant,year,age,engine_cc,transmission,fuel_type,mileage_km,registered_city,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,seals_intact,accidental,is_total_genuine,price_in_lacs,price_pkr
Suzuki,Wagon R,VXL,2021,3,1000,Manual,Petrol,34689,Islamabad,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,3,0,0,3,1,0,0,27.55,2755000
MG,HS,Exclusive 1.5 Turbo,2024,0,1500,Automatic,Petrol,7131,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,touchup_no_putty,3,0,0,3,1,0,0,68.5,6850000
Honda,Civic,1.8 i-VTEC Oriel (X),2019,5,1800,Automatic,Petrol,71583,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,42.05,4205000
Honda,City,i-DSI 1.3,2005,19,1300,Manual,Petrol,266288,Islamabad,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,8.0,800000
Changan,Karvaan,Plus,2019,5,1000,Manual,Petrol,56412,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,23.2,2320000
Suzuki,Bolan,VX Euro II,2017,7,800,Manual,Petrol,55896,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,10.45,1045000
Suzuki,Bolan,VX Euro II,2015,9,800,Manual,Petrol,104437,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,1,0,0,1,1,0,0,10.8,1080000
Honda,City,i-DSI 1.3,2004,20,1300,Manual,Petrol,261138,Karachi,genuine,genuine,putty,genuine,genuine,putty,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,2,2,0,4,1,0,0,8.0,800000
Honda,City,i-DSI 1.3,2004,20,1300,Manual,Petrol,228233,Lahore,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,8.0,800000
Toyota,Corolla,GLi 1.3,2011,13,1300,Manual,Petrol,178626,Islamabad,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,3,0,0,3,1,0,0,19.7,1970000
Suzuki,Every,PA / Join,2022,2,660,Automatic,Petrol,28632,Rawalpindi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,3,0,0,3,1,0,0,19.5,1950000
Suzuki,Cultus (Old),Euro II,2009,15,1000,Manual,Petrol,222675,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,1,0,0,1,1,0,0,8.0,800000
Suzuki,Mehran,VXR,2007,17,800,Manual,Petrol,186645,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,4.3,430000
Honda,City,i-DSI 1.3,2006,18,1300,Manual,Petrol,244785,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,8.0,800000
KIA,Picanto,Automatic,2020,4,1000,Automatic,Petrol,70702,Rawalpindi,putty,genuine,replaced,putty,replaced,genuine,putty,putty,replaced,genuine,replaced,0,4,4,8,1,0,0,14.6,1460000
Suzuki,Bolan,VX Euro II,2012,12,800,Manual,Petrol,190617,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,8.85,885000
Changan,Karvaan,Plus,2018,6,1000,Manual,Petrol,84460,Multan,putty,genuine,genuine,putty,genuine,genuine,putty,genuine,genuine,genuine,genuine,0,3,0,3,1,0,0,16.3,1630000
KIA,Picanto,Automatic,2024,0,1000,Automatic,Petrol,945,Rawalpindi,putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,32.1,3210000
Suzuki,Alto,VXR,2019,5,660,Manual,Petrol,86333,Karachi,putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,16.35,1635000
KIA,Stonic,EX+,2022,2,1400,Automatic,Petrol,31237,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,43.65,4365000
Toyota,Corolla,GLi 1.3 Automatic,2017,7,1300,Automatic,Petrol,93711,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,touchup_no_putty,3,0,0,3,1,0,0,25.6,2560000
Changan,Karvaan,Plus,2024,0,1000,Manual,Petrol,850,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,29.3,2930000
Suzuki,Alto,VXR,2024,0,660,Manual,Petrol,4372,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,3,0,0,3,1,0,0,26.3,2630000
Suzuki,Cultus (Old),Euro II,2013,11,1000,Manual,Petrol,129079,Karachi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,2,0,0,2,1,0,0,8.0,800000
KIA,Picanto,Automatic,2020,4,1000,Automatic,Petrol,76169,Karachi,putty,genuine,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,putty,0,3,0,3,1,0,0,23.15,2315000
Suzuki,Cultus,Auto Gear Shift,2022,2,1000,Automatic,Petrol,25659,Karachi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,35.25,3525000
Hyundai,Sonata,2.5,2023,1,2500,Automatic,Petrol,17294,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,96.3,9630000
Honda,City,Aspire 1.5 Prosmatec,2020,4,1500,Automatic,Petrol,59866,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,1,0,0,1,1,0,0,31.65,3165000
Suzuki,Cultus,VXL,2024,0,1000,Manual,Petrol,2240,Rawalpindi,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,putty,putty,putty,genuine,genuine,1,3,0,4,1,0,0,33.25,3325000
Toyota,Corolla,Altis Grande 1.8,2020,4,1800,Automatic,Petrol,51567,Islamabad,putty,putty,touchup_no_putty,touchup_no_putty,touchup_no_putty,replaced,putty,putty,putty,putty,touchup_no_putty,4,6,1,11,1,0,0,29.35,2935000
Hyundai,Elantra,GLS 2.0,2023,1,2000,Automatic,Petrol,21923,Lahore,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,60.55,6055000
Toyota,Aqua,Hybrid S,2013,11,1500,Automatic,Hybrid,150134,Multan,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,19.35,1935000
Hyundai,Elantra,GLS 2.0,2024,0,2000,Automatic,Petrol,4855,Rawalpindi,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,putty,genuine,genuine,genuine,genuine,2,1,0,3,1,0,0,66.25,6625000
KIA,Picanto,Automatic,2024,0,1000,Automatic,Petrol,1697,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,35.4,3540000
Suzuki,Swift,GLX CVT,2023,1,1200,Automatic,Petrol,20297,Lahore,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,2,0,0,2,1,0,0,42.6,4260000
MG,HS,Exclusive 1.5 Turbo,2021,3,1500,Automatic,Petrol,37755,Karachi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,52.95,5295000
KIA,Sportage,AWD,2021,3,2000,Automatic,Petrol,43595,Islamabad,genuine,genuine,putty,putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,2,0,2,1,0,0,63.95,6395000
KIA,Sportage,FWD,2020,4,2000,Automatic,Petrol,46861,Islamabad,genuine,genuine,genuine,putty,genuine,genuine,touchup_no_putty,putty,genuine,genuine,putty,1,3,0,4,1,0,0,55.0,5500000
Suzuki,Swift,GLX CVT,2022,2,1200,Automatic,Petrol,26771,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,1,0,0,1,1,0,0,41.45,4145000
