source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
PakWheels,Daihatsu Cuore  2003 CL for Sale,Daihatsu,Cuore,Standard,2003,21,750000,7.5,7615,Lahore,800,Manual,Petrol,https://www.pakwheels.com/used-cars/daihatsu-cuore-2003-for-sale-in-lahore-11998597,https://cache1.pakwheels.com/ad_pictures/1514/tn_daihatsu-cuore-cl-3-2003-151435643.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda Civic 11th (FE) Generation 2026 RS for Sale,Honda,Civic,Standard,2026,0,10800000,108.0,1092,Islamabad,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-civic-2026-for-sale-in-islamabad-11974906,https://cache3.pakwheels.com/ad_pictures/1510/tn_honda-civic-civic-rs-2026-151073290.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota C-HR  2017 G for Sale,Toyota,C-HR,Standard,2017,7,5975000,59.75,204665,Lahore,1800,Automatic,Hybrid,https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-lahore-11860760,https://cache1.pakwheels.com/ad_pictures/1493/tn_toyota-c-hr-g-61-2017-149320585.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,BYD Atto 3  2025 Advance for Sale,Toyota,Corolla,Standard,2025,0,8500000,85.0,25000,Lahore,1300,Automatic,Electric,https://www.pakwheels.com/used-cars/byd-atto-3-2025-for-sale-in-lahore-12044615,https://cache4.pakwheels.com/ad_pictures/1521/tn_byd-atto-3-advance-2025-152142296.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Deepal S05  2026 REEV Premium for Sale,Toyota,Corolla,Standard,2026,0,10400000,104.0,940,Lahore,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/deepal-s05-2026-for-sale-in-lahore-11819744,https://cache2.pakwheels.com/ad_pictures/1486/tn_deepal-s05-reev-premium-2026-148696768.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Land Cruiser  2014 ZX for Sale,Toyota,Land Cruiser,Standard,2014,10,27500000,275.0,71000,Islamabad,4600,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2014-for-sale-in-islamabad-12044672,https://cache1.pakwheels.com/ad_pictures/1521/tn_toyota-land-cruiser-zx-2-2014-152143342.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Corolla  2019 Altis Automatic 1.6 for Sale,Toyota,Corolla,Standard,2019,5,4780000,47.8,77000,Rawalpindi,1600,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-rawalpindi-11965637,https://cache1.pakwheels.com/ad_pictures/1509/tn_toyota-corolla-altis-1-6-automatic-2019-150926996.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Audi Q7  2018 45 TFSI quattro for Sale,Audi,Q7,Standard,2018,6,23500000,235.0,27987,Karachi,3000,Automatic,Petrol,https://www.pakwheels.com/used-cars/audi-q7-2018-for-sale-in-karachi-12000940,https://cache1.pakwheels.com/ad_pictures/1514/tn_audi-q7-45-tfsi-quattro-2018-151470114.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Mehran  2015 VXR Euro II for Sale,Suzuki,Mehran,VXR,2015,9,1000000,10.0,99410,Lahore,796,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-lahore-11929410,https://cache2.pakwheels.com/ad_pictures/1503/tn_suzuki-mehran-vxr-euro-ii-2015-150376572.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Swift  2017 DLX 1.3 for Sale,Suzuki,Swift,DLX,2017,7,2400000,24.0,90287,Faisalabad,1300,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-swift-2017-for-sale-in-faisalabad-11907547,https://cache4.pakwheels.com/ad_pictures/1500/tn_suzuki-swift-1-3l-dlx-2017-150040626.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
