title,make,model,year,price_pkr,mileage_km,registered_city,fuel_type,engine_cc,transmission,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental
"Daihatsu Cuore  2003 CL for Sale
4.2/10",Daihatsu,Cuore,,750000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
"Honda Civic 11th (FE) Generation 2026 RS for Sale
10/10",Honda,Civic,,10800000.0,,Islamabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
"Toyota C-HR  2017 G for Sale
7.5/10",Toyota,C-HR,,5975000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
BYD Atto 3  2025 Advance for Sale,BYD,Atto,,8500000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Deepal S05  2026 REEV Premium for Sale,Deepal,S05,,10400000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Toyota Land Cruiser  2014 ZX for Sale,Toyota,Land,,27500000.0,,Islamabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,Toyota,Corolla,,4780000.0,,Rawalpindi,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
"Audi Q7  2018 45 TFSI quattro for Sale
9.4/10",Audi,Q7,,23500000.0,,Karachi,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
"Suzuki Mehran  2015 VXR Euro II for Sale
5.4/10",Suzuki,Mehran,,1000000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
"Suzuki Swift  2017 DLX 1.3 for Sale
7.5/10",Suzuki,Swift,,2400000.0,,Faisalabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Toyota Corolla 9th (E120) Generation 2004 XLi for Sale,Toyota,Corolla,,1420000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
"Toyota Vitz  2000 F 1.0 for Sale
4.2/10",Toyota,Vitz,,1950000.0,,Islamabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Toyota Surf  1995 SSR-G 3.4 for Sale,Toyota,Surf,,4700000.0,,Islamabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Suzuki FX  1988 GA for Sale,Suzuki,FX,,320000.0,,Peshawar,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Suzuki Swift  2013 DLX Automatic 1.3 for Sale,Suzuki,Swift,,2500000.0,,Mardan,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Suzuki Swift  2012 DX 1.3 for Sale,Suzuki,Swift,,1620000.0,,Karachi,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Honda N Wgn  2018 Custom G for Sale,Honda,N,,3150000.0,,Sahiwal,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Toyota Corolla  2013 GLi 1.3 VVTi for Sale,Toyota,Corolla,,2850000.0,,Islamabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Mercedes Benz E Class 3rd (W211) Generation 2006 E 200 Kompressor Elegance for Sale,Mercedes,Benz,,5900000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Toyota Passo  2015 G 1.3 for Sale,Toyota,Passo,,2850000.0,,Islamabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Honda Civic Rebirth (FB) 2008 VTi Prosmatec 1.8 i-VTEC for Sale,Honda,Civic,,2290000.0,,Lahore,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Honda City 5th (GM2) Generation 2018 Aspire Prosmatec 1.5 i-VTEC for Sale,Honda,City,,3685000.0,,Faisalabad,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Suzuki Cultus  2007 VXR for Sale,Suzuki,Cultus,,930000.0000000001,,Karachi,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
Honda City 5th (GM2) Generation 2021 Aspire Prosmatec 1.5 i-VTEC for Sale,Honda,City,,4300000.0,,Karachi,Petrol,,Manual,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0
